id,number,title,authors,source,year,pages,citations,url
83112677,1,O‘ZBEKISTON HUDUDIY RIVOJLANISH STRATEGIYALARIDA BARQAROR RIVOJLANISH MAQSADLARINING (SDG) INTEGRATSIYASI,Ma'murov B.,Iqtisodiy Taraqqiyot va Tahlil. 2025. Т. 3. № 9. С. 118-127.,2025,118-127,0,https://elibrary.ru/item.asp?id=83112677
75997486,2,INKLYUZIV TURIZMNI RIVOJLANTIRISH BARQAROR RIVOJLANISHGA ERISHISH VOSITASI SIFATIDA,Karimova G.,Iqtisodiy Taraqqiyot va Tahlil. 2024. Т. 2. № 10. С. 99-104.,2024,99-104,1,https://elibrary.ru/item.asp?id=75997486
82604768,3,MILLIY IQTISODIYOTNI RIVOJLANTIRISHDA MEHMONXONA XIZMATLARI RIVOJINING O‘RNI,Mansurov Z.,Iqtisodiy Taraqqiyot va Tahlil. 2025. Т. 3. № 3. С. 133-137.,2025,133-137,0,https://elibrary.ru/item.asp?id=82604768
79490179,4,ΟЗИҚ-ΟВҚАТ САНΟАТИНИ РИВΟЖЛАНТИРИШДА ХΟРИЖ ТАЖРИБАСИ ВА УНИ РИВОЖЛАНТИРИШ ТЕНДЕНЦИЯЛАРИ,"Дехканова Н., Галимова Ф.",Iqtisodiy Taraqqiyot va Tahlil. 2024. Т. 2. № 11. С. 440-452.,2024,440-452,0,https://elibrary.ru/item.asp?id=79490179
85989730,5,РУШДИ УСТУВОР ВА ДИПЛОМАТИЯИ ЭКОЛОГӢ: САҲМИ ТОҶИКИСТОН ДАР АМАЛИСОЗИИ ҲАДАФҲОИ РУШДИ УСТУВОР ДАР ШАРОИТИ ТАҒЙИРЁБИИ ИҚЛИМ,Асламшозода Ф.А.,"В сборнике: Иқтисоди сабз дар шароити тағйирёбии иқлим: гузариш бо мақсади рушди устувор. Маводи конфронси байналмилалии илмӣ-амалӣ бахшида ба Соли байналмилалии ҳифзи пиряхҳо. Душанбе, 2025. С. 329-334.",2025,329-334,0,https://elibrary.ru/item.asp?id=85989730
88908956,6,XORIJIY MAMLAKATLARDA MINTAQALAR SANOATINI INNOVATSION RIVOJLANTIRISH ASNOSIDA BIZNES RIVOJLANISHDAGI TAJRIBASI,Xusanova G.,Iqtisodiy Taraqqiyot va Tahlil. 2026. Т. 4. № 1. С. 243-252.,2026,243-252,0,https://elibrary.ru/item.asp?id=88908956
73952465,7,TASHKILOTLAR HRM TIZIMIDA XODIMLARNI O‘QITISH VA RIVOJLANTIRISH YO‘NALISHINI RIVOJLANTIRISH ISTIQBOLLARI,"G'aniyeva D., Bakiyeva I.",Iqtisodiy Taraqqiyot va Tahlil. 2024. Т. 2. № 9. С. 93-100.,2024,93-100,0,https://elibrary.ru/item.asp?id=73952465
67885733,8,РАҚАМЛИ ИҚТИСОДИЁТ РИВОЖИДА ТИЖОРАТ БАНК ТЕХНОЛОГИЯЛАРИНИНГ РОЛИ ВА УЛАРНИ РИВОЖЛАНТИРИШ ИСТИҚБОЛЛАРИ,Ҳамроев Ш.,Iqtisodiy Taraqqiyot va Tahlil. 2024. Т. 2. № 5. С. 739-746.,2024,739-746,0,https://elibrary.ru/item.asp?id=67885733
68010291,9,MAMLAKATNI IJTIMOIY-IQTISODIY RIVOJLANTIRISH KONSEPSIYALARI VA STRATEGIYALARINI AMALGA OSHIRISH JARAYONLARIDA INSON KAPITALINI RIVOJLANISH OMILLARI,Ubaydullaev G.,Iqtisodiy Taraqqiyot va Tahlil. 2024. Т. 2. № 6. С. 207-213.,2024,207-213,1,https://elibrary.ru/item.asp?id=68010291
43259301,10,THE SUSTAINABLE SOCIO-ECONOMIC DEVELOPMENT OF RURAL AREAS IN TERMS OF DEVELOPMENT OF ORGANIC FARMING,"Voronkova O.Y., Kovaleva I.V.","В сборнике: IOP Conference Series: Materials Science and Engineering. International Science and Technology Conference ""FarEastCon 2019"". 2020. С. 082016.",2019,082016,13,https://elibrary.ru/item.asp?id=43259301
36319244,11,TERRITORY OF PRIORITY DEVELOPMENT IN THE SYSTEM OF SUSTAINABLE DEVELOPMENT OF THE REGIONS OF THE FAR EASTERN FEDERAL DISTRICT,Osipov V.,Вестник Академии права и управления. 2018. № 3 (52). С. 130-138.,2018,130-138,3,https://elibrary.ru/item.asp?id=36319244
47478957,12,ÜBER DIE ENTWICKLUNGSNOTWENDIGKEIT DER NATIONALEN DIGITALEN INFRASTRUKTUR IM ENTWICKLUNGSRAHMEN DER DIGITALEN WIRTSCHAFT DES LANDES,"Попова Н.С., Бурмистров А.М.","В сборнике: Менеджер года. материалы международного научно-практического форума. Воронеж, 2021. С. 209-212.",2021,209-212,0,https://elibrary.ru/item.asp?id=47478957
54909551,13,SUSTAINABILITY OF ALTAI TOURISM AND CLIMATE CHANGE AS A MAIN THREAT,"Kantarcı K., Kuttubaeva T.A., Basharan M.A.","В сборнике: Туризм как фактор устойчивого развития региона. Сборник материалов Международной научно-практической конференции, Горно-Алтайск, 19-20 апреля 2023 г.. под общей редакцией Т. А. Куттубаевой, Н. И. Клепиковой. 2023. С. 40-47.",2023,40-47,1,https://elibrary.ru/item.asp?id=54909551
43037806,14,ECONOMY LEGALIZATION AND CORRUPTION COMBATING IN THE MODEL OF BALANCED SOCIO-ECONOMIC DEVELOPMENT,"Fleychuk M., Mokiy A., Datsko O., Nakonechna N.","В книге: THE BALANCED DEVELOPMENT OF NATIONAL ECONOMY UNDER THE CONDITIONS OF MODERN WORLD TRANSFORMATIONS. Daugavpils, 2019. С. 6-23.",2019,6-23,1,https://elibrary.ru/item.asp?id=43037806
30733206,15,PROBLEMS OF SUSTAINABLE DEVELOPMENT WORLDWIDE AND PUBLIC POLICIES FOR GREEN ECONOMY,"Vertakova Yu., Plotnikov V.",Економiчний часопис-XXI. 2017. Т. 166. № 7-8. С. 4-10.,2017,4-10,90,https://elibrary.ru/item.asp?id=30733206
54779965,16,POST-COVID 2019 SUSTAINABLE ECONOMIC DEVELOPMENT: A NEW CYCLE OF DIGITAL DEVELOPMENT,"Pirogova O.E., Lysova E.A., Sozinova A.A.","В сборнике: E3S WEB OF CONFERENCES. Topical Problems of Green Architecture, Civil and Environmental Engineering (TPACEE-2021). Moscow, 2021. С. 04017.",2021,04017,0,https://elibrary.ru/item.asp?id=54779965
36709965,17,РАЗВИТИЕ ИНИЦИАТИВ ПАРТНЁРСТВА КАК ФАКТОРА УСКОРЕНИЯ ТЕХНОЛОГИЧЕСКОГО РАЗВИТИЯ,Асадуллина Н.Р.,Часопис економiчних реформ. 2018. № 3 (31). С. 6-11.,2018,6-11,0,https://elibrary.ru/item.asp?id=36709965
35033942,18,ФОРМИРОВАНИЕ И РАЗВИТИЕ СВЯЗНОЙ РЕЧИ ДЕТЕЙ С ЗАДЕРЖКОЙ ПСИХИЧЕСКОГО РАЗВИТИЯ ДОШКОЛЬНОГО ВОЗРАСТА,Клейменова М.В.,Евразийский союз ученых. 2018. № 4-5 (49). С. 58-60.,2018,58-60,5,https://elibrary.ru/item.asp?id=35033942
24270636,19,РАЗВИТИЕ ИНФРАСТРУКТУРЫ РЫНКА ЦЕННЫХ БУМАГ КАК ФАКТОР УСТОЙЧИВОГО РОСТА И РАЗВИТИЯ,Chizhik V.P.,В книге: Innovation Management and Technology in the Era of Globalization: materials of the international scientific-practical conference. материалы международной научно-практической конференции. 2014. С. 70-76.,2014,70-76,2,https://elibrary.ru/item.asp?id=24270636
19979448,20,ДОКЛАД ГЕНЕРАЛЬНОГО СЕКРЕТАРЯ ЮНКТАД XIII СЕССИИ КОНФЕРЕНЦИИ,,"Сер. 1 UNCTAD (XIII)/Конф. ООН по торговле и развитию (ЮНКТАД). Нью-Йорк, 2011.",2011,,0,https://elibrary.ru/item.asp?id=19979448
49699903,21,"ТИПЫ НАРУШЕНИЯ ПСИХИЧЕСКОГО РАЗВИТИЯ: НЕДОРАЗВИТИЕ, ЗАДЕРЖАННОЕ РАЗВИТИЕ, ПОВРЕЖДЁННОЕ РАЗВИТИЕ, ИСКАЖЕННОЕ РАЗВИТИЕ, ДИСГАРМОНИЧНОЕ РАЗВИТИЕ",Куфтерина А.С.,"В сборнике: ПСИХОЛОГИЯ И ПЕДАГОГИКА В КОНТЕКСТЕ МЕЖДИСЦИПЛИНАРНЫХ ИССЛЕДОВАНИЙ. сборник статей Международной научно-практической конференции. Уфа, 2022. С. 103-105.",2022,103-105,0,https://elibrary.ru/item.asp?id=49699903
54334138,22,РАЗВИТИЕ МЕХАНИЗМОВ ГОСУДАРСТВЕННОГО УПРАВЛЕНИЯ РАЗВИТИЕМ МАЛОГО ПРЕДПРИНИМАТЕЛЬСТВА (НА ПРИМЕРЕ МИНИСТЕРСТВА ЭКОНОМИЧЕСКОГО РАЗВИТИЯ ЧЕЛЯБИНСКОЙ ОБЛАСТИ),"Лейсле И.А., Барчукова Т.А.","В сборнике: Актуальные проблемы управления, экономики и финансов в контексте глобальных вызовов. Сборник статей XXVII международной научно-практической конференции, посвященной 65-летию Уральского филиала Финуниверситета. Челябинск, 2023. С. 70-79.",2023,70-79,0,https://elibrary.ru/item.asp?id=54334138
